,,,,,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
100,Travis d'Arnaud,35,ATL,77,0.415,162,0.304,0.328,6.50%,22.10%,9.10%,92.1,53.10%,17.60%,45.10%,27.50%,0.82,37.30%,51.00%,11.80%,0.8,0.50%,4.8,26%,,36%
101,Bobby Dalbec,29,BOS,55,0.164,-19,0.292,0.039,0.00%,49.10%,5.50%,81.7,40.00%,8.00%,56.00%,28.00%,1.4,28.00%,44.00%,28.00%,-0.8,-0.50%,-8.5,30%,100%,50%
102,Henry Davis,24,PIT,79,0.252,53,0.275,0.046,0.00%,34.20%,12.70%,85.9,35.00%,25.00%,40.00%,20.00%,0.67,35.00%,50.00%,15.00%,-0.6,-0.40%,-4.3,32%,,36%
103,J.D. Davis,31,OAK,55,0.274,79,0.242,0.176,3.60%,29.10%,5.50%,92.2,45.70%,17.10%,65.70%,17.10%,1.92,20.00%,57.10%,22.90%,-0.8,-0.40%,-5.9,17%,,0%
104,Bryan De La Cruz,27,MIA,129,0.323,96,0.31,0.172,3.90%,26.40%,4.70%,88.3,43.80%,28.10%,38.20%,30.30%,0.62,25.80%,56.20%,18.00%,0.1,-0.10%,1.3,25%,100%,14%
105,Elly De La Cruz,22,CIN,118,0.471,184,0.357,0.31,6.80%,30.50%,14.40%,91.4,50.00%,23.40%,50.00%,20.30%,1.07,31.30%,53.10%,15.60%,0.8,0.50%,13.5,47%,86%,64%
106,Paul DeJong,30,CHW,73,0.287,80,0.314,0.191,4.10%,41.10%,4.10%,88.1,47.40%,23.70%,39.50%,21.10%,0.65,31.60%,50.00%,18.40%,-0.1,0.00%,-5.9,13%,,0%
107,Jason Delay,29,PIT,5,0.177,-23,0,0,0.00%,0.00%,20.00%,68.9,25.00%,25.00%,0.00%,25.00%,0,25.00%,75.00%,0.00%,0.1,0.00%,0.1,0%,,0%
108,Rafael Devers,27,BOS,81,0.391,151,0.327,0.191,3.70%,19.80%,14.80%,91.2,44.20%,17.30%,40.40%,32.70%,0.68,30.80%,53.80%,15.40%,0.5,0.30%,3,24%,,67%
109,Elias Díaz,33,COL,98,0.338,101,0.352,0.112,2.00%,18.40%,4.10%,86.9,27.50%,28.80%,42.50%,19.20%,0.74,31.50%,43.80%,24.70%,-0.1,-0.10%,-1.1,28%,,10%
110,Yainer Diaz,25,HOU,111,0.364,138,0.318,0.155,2.70%,14.40%,6.30%,91.1,50.00%,12.50%,60.20%,22.70%,1.51,29.50%,51.10%,19.30%,-0.2,0.00%,2.8,27%,,26%
111,Yandy Díaz,32,TBR,127,0.292,88,0.269,0.07,0.80%,16.50%,7.90%,91.1,51.10%,16.00%,61.70%,19.10%,1.61,11.70%,56.40%,31.90%,0,0.00%,-0.3,27%,,46%
112,Brendan Donovan,27,STL,123,0.297,88,0.247,0.133,1.60%,13.80%,8.10%,89.2,42.90%,25.30%,39.60%,27.50%,0.67,37.40%,44.00%,18.70%,0.3,0.20%,-1.6,27%,0%,17%
113,Brenton Doyle,26,COL,106,0.388,133,0.446,0.182,2.80%,29.30%,5.70%,87.1,43.30%,27.90%,44.10%,25.00%,0.81,27.90%,50.00%,22.10%,0,-0.10%,3.9,42%,80%,20%
114,Brandon Drury,31,LAA,90,0.242,46,0.215,0.061,1.10%,18.90%,6.70%,87,36.90%,27.30%,54.50%,13.60%,1.2,24.20%,65.20%,10.60%,-0.6,-0.30%,-6.1,29%,,50%
115,Mauricio Dubón,29,HOU,63,0.308,95,0.291,0.115,1.60%,7.90%,3.20%,88.2,32.70%,23.20%,46.40%,26.80%,0.87,8.90%,51.80%,39.30%,0.1,0.10%,3.6,22%,100%,14%
116,Oliver Dunn,26,MIL,63,0.245,43,0.324,0.1,1.60%,39.70%,3.20%,88.5,51.40%,17.10%,45.70%,31.40%,0.84,45.70%,48.60%,5.70%,-0.6,-0.50%,-6.6,21%,100%,13%
117,Ezequiel Duran,25,TEX,50,0.236,38,0.31,0.022,0.00%,32.00%,10.00%,87.3,48.30%,24.10%,48.30%,13.80%,0.93,20.70%,55.20%,24.10%,-0.4,-0.30%,-4.2,14%,100%,0%
